prive,esprit,licence,graduated,year_after_graduation,skills_score
1,0,0,1,1,1.70
0,0,1,0,0,2.90
1,1,0,0,0,3.00
0,0,0.2,1,5,2.00
0,0,0,1,10,1.40
1,1,0,0,0,1.90
1,1,0,0,0,1.90
1,1,0,0,0,3.20
0,0,0,1,1,1.60
1,0,0,1,5,2.40
0,0,0,0,0,0.00
1,1,0,1,1,2.10
0,0,0,0,0,0.90
1,0,0,1,1,2.50
0,0,1,1,7,0.70
1,0,0,1,1,1.70
0,0,1,0,0,2.90
1,1,0,0,0,3.00
0,0,0.2,1,5,2.00
0,0,0,1,10,1.40
1,1,0,0,0,1.90
1,1,0,0,0,1.90
1,1,0,0,0,3.20
0,0,0,1,1,1.60
1,0,0,1,5,2.40
0,0,0,0,0,0.00
1,1,0,1,1,2.10
0,0,0,0,0,0.90
1,0,0,1,1,2.50
0,0,1,1,7,0.20
1,1,0,0,0,1.30
0,0,0,1,2,3.90
1,1,0,0,0,1.80
1,1,0,1,1,1.40
0,0,0,1,10,3.40
0,0,0,0,0,2.20
0,0,0.2,0,0,0.00
0,0,1,1,1,1.10
0,0,1,1,4,1.80
0,0,0,1,9,1.30
1,0,0.2,1,6,1.40
0,0,0,1,4,1.90
0,0,0,1,11,0.70
0,0,0,0,0,0.00
0,0,0,1,32,3.40
0,0,1,0,0,1.40
0,0,0.2,0,0,1.60
0,0,0,0,0,0.00
0,0,1,1,3,0.80
1,1,0,1,1,2.20
0,0,0.2,1,12,0.10
1,0,0.2,1,5,3.10
0,0,0,1,5,0.50
0,0,1,0,0,2.60
1,1,0,0,0,1.90
0,0,1,1,2,1.30
1,1,0,0,0,1.50
0,0,1,0,0,2.30
0,0,0,0,0,0.00
0,0,0,0,0,0.00
0,0,1,0,0,0.00
1,0,0,1,5,2.00
1,0,0,1,2,0.50
0,0,0,0,0,0.30
1,0,0,1,2,1.90
0,0,0,0,0,1.60
0,0,0,0,0,0.00
0,0,0,0,0,0.00
0,0,0,0,0,0.00
0,0,1,1,5,0.90
0,0,0,0,0,0.30
0,0,0,1,1,1.10
0,0,0,0,0,2.20
1,1,0,1,6,1.60
0,0,1,1,1,2.10
0,0,1,1,14,0.70
0,0,1,0,0,1.50
0,0,1,0,0,0.50
1,0,0,1,1,1.00
1,0,0,1,1,1.40
0,0,0,0,0,2.30
1,0,0,1,2,0.30
0,0,1,0,0,1.00
0,0,0.2,1,1,1.30
0,0,0,1,2,1.80
0,0,0,1,10,0.70
0,0,0,0,0,0.60
1,0,0,1,5,1.70
0,0,0,0,0,0.00
0,0,1,1,2,2.50
0,0,0,0,0,0.10
0,0,1,0,0,1.00
0,0,0,0,0,0.00
1,1,0,1,1,2.20
0,0,0,1,4,2.20
1,1,0,1,2,0.90
0,0,1,0,0,1.70
0,0,0,0,0,0.90
0,0,0,0,0,1.70
0,0,1,1,6,0.40
0,0,0,1,2,0.40
1,0,0,1,2,0.80
0,0,1,0,0,2.30
1,0,0,1,6,1.10
1,0,0,1,3,1.50
0,0,0.2,0,0,0.60
1,1,0,0,0,1.90
0,0,0,0,0,1.60
0,0,1,0,0,2.10
0,0,0,1,2,0.00
0,0,0,1,3,1.20
0,0,0,1,3,1.50
1,1,0,0,0,3.20
0,0,0,1,3,0.40
0,0,0,0,0,1.50
0,0,0,0,0,2.70
1,0,0,0,0,1.50
0,0,0,1,6,1.80
0,0,1,0,0,0.70
1,1,0,1,1,0.90
0,0,0,1,3,1.30
1,0,0,1,1,1.60
0,0,1,1,11,1.30
0,0,0,0,0,0.00
0,0,0.2,1,11,0.90
0,0,0,1,1,0.10
0,0,0,0,0,1.40
1,1,0,0,0,1.60
0,0,0,0,0,1.40
1,0,0,1,6,1.90
0,0,0,1,7,0.60
1,0,0,0,0,1.80
0,0,0,1,7,0.80
0,0,0,1,6,0.90
1,0,0.2,1,2,0.00
1,0,0,0,0,1.10
0,0,0,1,1,1.60
0,0,0,0,0,0.00
0,0,1,0,0,0.90
0,0,1,0,0,2.10
0,0,0,1,2,2.00
0,0,0,1,8,0.70
1,1,0,0,0,2.20
1,0,1,1,8,2.90
0,0,0,1,8,1.70
0,0,0,1,9,2.00
0,0,0,1,9,0.40
0,0,0.2,1,25,2.00
1,0,0,1,2,1.60
0,0,0.2,1,9,0.70
0,0,0,1,3,1.30
0,0,0.2,1,16,2.30
1,1,0,0,0,2.50
0,0,0,0,0,2.50
0,0,0,1,25,0.20
0,0,1,0,0,1.90
1,0,0,1,9,2.20
0,0,0,0,0,1.50
0,0,0,0,0,1.20
1,0,0,1,7,0.10
1,0,0,0,0,0.90
0,0,0,0,0,1.10
1,0,0,1,4,0.60
1,0,0,1,2,1.50
1,0,0,0,0,1.90
0,0,0.2,1,15,1.30
0,0,0,0,0,0.00
1,1,0,0,0,1.90
0,0,0,0,0,1.10
1,0,0,0,0,1.60
0,0,1,1,3,1.30
0,0,0,1,1,0.30
0,0,1,0,0,2.10
0,0,0,1,2,1.90
0,0,0,1,11,1.80
0,0,0,1,1,0.10
1,1,0,1,3,1.40
0,0,0,1,1,0.70
1,0,0.2,0,0,0.70
1,0,0,0,0,1.10
1,0,0,0,0,0.90
1,0,0,1,1,0.60
0,0,0,1,2,1.70
1,0,0,1,2,2.50
0,0,0,1,4,1.50
1,0,0,1,13,1.70
0,0,0,1,6,1.80
0,0,0,1,11,0.40
1,1,0,1,3,1.90
0,0,0,1,10,2.80
1,0,0.2,0,0,2.10
1,1,0,1,5,2.30
0,0,1,0,0,1.60
0,0,0,1,1,1.80
0,0,1,1,8,1.50
0,0,1,0,0,0.90
0,0,0,0,0,0.00
0,0,0,1,2,0.00
1,0,0.2,1,2,1.20
0,0,0,0,0,0.00
1,0,0.2,0,0,1.20
1,0,0,1,3,1.00
0,0,0,0,0,0.00
1,1,0,0,0,0.90
0,0,1,1,2,0.40
0,0,0,0,0,0.00
1,0,0,0,0,0.00
0,0,1,1,2,0.40
1,0,0,1,1,0.00
0,0,1,0,0,1.80
0,0,0,1,2,0.00
0,0,0,1,3,0.50
0,0,1,1,5,1.00
1,1,0,0,0,0.90
1,1,0,0,0,0.90
0,0,0,1,3,0.50
0,0,0,1,7,0.20
0,0,0,1,4,1.50
1,1,0,1,1,0.70
1,1,0,1,2,0.60
0,0,0,1,11,0.60
1,0,0,1,23,0.00
0,0,0,0,0,0.00
1,0,0,1,30,0.00
0,0,0,0,0,0.40
0,0,0,0,0,1.60
0,0,0.2,1,25,0.00
0,0,1,1,15,1.70
1,0,0,1,6,1.20
0,0,0,0,0,0.00
0,0,1,1,1,1.00
0,0,0,0,0,0.30
0,0,0,0,0,0.00
1,1,0.2,1,7,1.00
0,0,0,0,0,0.00
0,0,1,1,1,1.00
0,0,1,0,0,1.30
0,0,0,0,0,0.40
0,0,0,1,5,1.00
0,0,0.2,1,5,2.20
1,0,0.2,0,0,1.20
0,0,0,0,0,3.40
0,0,0,0,0,0.00
1,0,0,1,13,1.10
1,0,0,0,0,1.80
0,0,0,1,8,0.30
0,0,0,0,0,0.00
0,0,1,1,14,1.70
0,0,0.2,0,0,0.20
0,0,0,0,0,0.60
1,0,0,1,3,0.00
1,0,0,1,5,0.80
0,0,0,0,0,2.70
0,0,0,0,0,1.50
0,0,1,1,5,0.70
1,1,0,0,0,0.00
0,0,0,0,0,0.00
0,0,0,0,0,1.50
1,0,0,1,2,0.50
0,0,1,0,0,0.80
0,0,1,1,2,1.00
0,0,0,0,0,0.00
0,0,0,0,0,0.00
0,0,0,1,7,0.20
1,0,0,1,9,1.60
1,0,0,1,5,0.00
0,0,0,0,0,1.60
0,0,0.2,1,8,0.80
1,0,0,1,2,1.70
0,0,0,0,0,0.50
0,0,1,1,5,0.80
0,0,0,0,0,1.60
0,0,0,1,2,2.80
1,0,0,0,0,0.50
0,0,0,1,2,0.40
0,0,0,0,0,0.00
1,1,0,0,0,1.10
0,0,1,1,4,0.70
0,0,1,1,4,1.10
0,0,0.2,1,3,0.40
1,1,0.2,0,0,2.30
0,0,1,1,4,0.40
0,0,0,0,0,1.50
0,0,0,0,0,0.80
1,0,0,0,0,1.10
0,0,0,0,0,2.00
1,0,0,0,0,2.20
0,0,0,1,4,1.20
1,0,0,0,0,0.40
0,0,0,0,0,0.50
0,0,1,1,3,1.10
0,0,0,0,0,0.00
0,0,0,1,4,1.30
0,0,0,0,0,0.80
0,0,0,1,3,0.40
0,0,0,0,0,2.20
0,0,1,1,4,1.10
0,0,0,1,7,0.90
0,0,0,1,20,0.50
0,0,0,1,3,0.60
1,0,0,0,0,1.40
0,0,1,0,0,0.70
0,0,0,0,0,0.20
0,0,0,0,0,0.00
0,0,0,0,0,0.00
1,0,0,0,0,0.60
1,0,0,1,1,2.50
1,0,0,1,7,1.80
0,0,1,0,0,0.00
0,0,0,1,6,1.90
1,0,0,1,2,2.90
0,0,1,0,0,0.00
1,1,0,1,6,0.40
0,0,0,1,2,1.20
0,0,1,0,0,0.10
0,0,0,0,0,0.00
0,0,0,0,0,0.00
1,0,0,1,7,0.50
1,0,0,1,5,0.00
0,0,0,1,1,1.20
0,0,1,1,3,1.00
0,0,0,1,5,1.90
0,0,0,0,0,0.00
0,0,1,1,5,0.10
0,0,1,1,5,1.40
0,0,0,1,7,0.60
1,0,0,1,1,1.90
1,0,0,1,5,0.00
0,0,0,1,2,2.00
1,0,0,0,0,0.90
1,0,0,0,0,1.00
0,0,0,1,6,0.00
0,0,1,0,0,0.00
0,0,0,0,0,0.50
1,0,0,1,1,0.50
1,0,0,0,0,1.00
0,0,1,1,8,0.30
0,0,0,0,0,0.40
0,0,0,1,7,0.60
0,0,0,0,0,0.50
0,0,0,1,2,2.00
0,0,0,1,6,1.70
0,0,0,0,0,2.10
0,0,0,1,1,3.50
1,0,0,0,0,0.60
0,0,1,1,10,0.60
1,1,0,0,0,1.20
0,0,0,0,0,0.10
1,0,0,1,7,2.10
0,0,1,0,0,2.30
1,1,0,1,5,0.90
0,0,1,0,0,0.50
0,0,0,1,8,3.40
1,1,0,1,3,0.50
0,0,0,0,0,1.70
0,0,0,1,15,1.10
0,0,0,0,0,0.00
1,1,0,0,0,1.70
0,0,0.2,0,0,2.40
0,0,0,1,2,3.30
0,0,0,0,0,2.60
1,1,0,1,2,3.60
1,0,0,0,0,0.30
0,0,0,0,0,1.70
0,0,0.2,0,0,1.50
0,0,0,1,2,1.10
0,0,0,0,0,1.90
0,0,0,0,0,0.80
0,0,0,0,0,1.90
0,0,0,0,0,0.50
1,0,0,1,1,2.40
0,0,0.2,0,0,2.80
1,1,0,0,0,2.00
0,0,1,1,1,2.20
1,0,0,0,0,0.20
0,0,1,0,0,0.40
0,0,0,0,0,1.80
0,0,0,0,0,0.60
0,0,0.2,1,12,0.00
1,0,0,1,26,0.30
1,0,0,1,5,2.30
0,0,1,1,2,1.60
0,0,1,1,3,2.90
0,0,1,1,7,1.10
0,0,1,0,0,1.50
0,0,0,1,4,2.50
0,0,0,1,1,1.20
1,1,0,0,0,2.60
1,0,0,1,1,1.40
1,0,0,1,3,1.80
0,0,1,1,1,0.30
0,0,0,1,3,2.20
1,0,0,1,1,2.30
1,0,0,0,0,1.50
0,0,0,1,4,1.30
0,0,0,0,0,2.10
0,0,0,0,0,1.50
0,0,1,1,1,0.60
1,0,0,0,0,3.40
0,0,0,1,4,1.50
0,0,0,0,0,1.30
0,0,0.2,1,12,1.60
0,0,1,0,0,1.00
1,0,0,0,0,0.70
0,0,0,0,0,2.00
0,0,0,0,0,0.40
0,0,0,1,6,1.70
1,1,0,0,0,0.10
0,0,0,1,7,1.80
0,0,0,1,3,0.00
0,0,0,1,1,1.50
0,0,0,1,1,0.50
0,0,1,0,0,2.30
1,0,0,0,0,2.00
0,0,0,1,1,2.80
0,0,0,0,0,0.80
0,0,0,1,2,1.60
0,0,0,1,1,1.10
0,0,0,1,3,0.20
0,0,1,0,0,1.60
0,0,0.2,1,1,1.30
0,0,0,0,0,1.20
0,0,0,0,0,0.90
0,0,0,1,6,1.60
0,0,0,1,2,1.00
0,0,0,0,0,1.20
0,0,1,1,7,2.10
0,0,0,1,2,1.00
0,0,0,1,4,2.70
1,0,0,1,1,1.00
1,1,0.2,0,0,2.70
0,0,0.2,1,1,1.40
0,0,1,1,1,1.20
0,0,0,1,3,1.80
0,0,0,1,1,1.70
0,0,0,0,0,0.40
0,0,0,0,0,0.70
1,0,0,1,2,1.70
0,0,0,1,16,0.60
0,0,0.2,1,10,0.40
1,0,0,1,5,1.90
0,0,0,1,33,1.70
0,0,0,1,3,1.70
0,0,1,1,1,0.70
1,0,0,1,4,1.70
0,0,0,1,5,1.90
0,0,1,1,13,1.10
1,0,0,0,0,0.40
1,1,0,0,0,0.70
1,1,0,1,11,0.70
1,0,0,0,0,0.40
0,0,0,0,0,1.80
0,0,0,1,1,1.00
0,0,0,0,0,0.50
0,0,0,0,0,0.00
1,0,0,0,0,1.00
1,1,0,0,0,1.20
1,1,0,0,0,1.50
1,1,0,0,0,2.10
0,0,0.2,1,4,0.90
0,0,0,0,0,1.30
1,1,0,0,0,3.70
0,0,0,1,8,1.10
0,0,0,0,0,0.50
0,0,1,1,2,1.70
1,0,0,1,3,1.70
0,0,1,1,2,2.50
1,0,0,1,2,2.20
0,0,0,1,4,0.60
0,0,1,1,1,1.30
1,1,1,1,5,2.20
0,0,0,1,9,2.20
1,1,0,1,3,2.00
1,0,0,1,1,1.20
0,0,0,1,3,1.30
1,0,0,1,1,2.60
0,0,0,0,0,1.30
1,1,0,0,0,1.00
0,0,1,1,13,2.00
0,0,0,0,0,0.50
1,0,0,1,2,0.90
0,0,0,1,9,0.20
1,1,0,1,10,0.60
0,0,0,1,3,1.30
0,0,0,1,8,2.00
0,0,0,1,8,1.10
0,0,0,1,7,2.00
0,0,0,1,1,1.10
0,0,1,1,4,2.30
1,0,0,1,1,2.40
0,0,0,0,0,3.10
0,0,0,1,23,0.90
0,0,0,0,0,0.00
1,1,0,1,1,2.70
0,0,0,0,0,0.50
1,0,0,1,2,0.90
0,0,0,0,0,0.90
1,0,0,1,2,0.30
0,0,0,1,5,1.90
0,0,0,1,6,0.10
0,0,1,1,1,3.30
0,0,0,0,0,0.50
0,0,0,0,0,1.80
0,0,0,0,0,1.40
1,0,0,0,0,0.10
0,0,0.2,0,0,1.60
0,0,0,1,9,1.90
0,0,1,0,0,1.00
0,0,0,1,2,0.00
0,0,0,1,2,0.00
0,0,1,0,0,2.60
0,0,0,1,7,0.90
1,1,0,1,5,1.80
1,1,0,0,0,0.80
0,0,0,1,2,1.30
0,0,1,0,0,0.00
0,0,1,0,0,2.00
0,0,0,0,0,1.30
0,0,0,0,0,1.20
0,0,0,1,4,2.90
0,0,0,1,2,1.20
1,1,0.2,1,1,0.50
0,0,1,1,1,1.20
0,0,0.2,0,0,0.90
1,1,0,1,11,0.70
0,0,0,0,0,0.60
1,0,0,1,3,1.70
1,0,0,1,2,0.70
1,1,0,1,3,2.10
0,0,0,1,12,0.60
0,0,0.2,1,3,1.20
0,0,0,1,1,0.70
1,1,0,0,0,1.30
0,0,0,1,2,3.90
